;reference;sous_famille;pignon 1;pignon 2;long_pan3;long_pan4;long_pan5;long_pan6;cloison7;cloison8;cloison9;cloison10;kitchenette;lieu_rangement;Liste Expertise;Liste_Amenagement
2165;Bung00654;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon Fenêtre convecteur 7.0; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5;Porte exterieure 5.0;Pignon #01 5.0;CMS;; pignon2: Pignon Fenêtre convecteur 7.0, 
2166;bung00443;Bungalow 9m;Pignon Fenêtre 5.0;Pignon Fenêtre convecteur/window 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 1.0; 1.0;Porte exterieure 5.0; 0.5;Pignon #01 5.0;;;
2167;BUNG03098;Bungalow 6m;;;;;;;;;;;Pignon #02 5.0;Tourville ;;
2168;BUNG03555;Bungalow 6m;;;;;;;;;;; 4.0;;;
2169;BUNG00970;Bungalow 9m;Pignon Fenêtre clim reversible 10.;Pignon Fenêtre clim reversible 10.; 1.0;1/2 long Pan Plein 2.5; 1.0;1/2 long Pan Plein 2.5; 1.0;Cloison Pleine 3.0; 0.5; 0.5;;;;
2170;Bung00790;Bungalow 9m;Pignon Fenêtre 5.0;Pignon sanitaire/WC 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Passage 2.0;;chilly Mazarin ;;
2171;BUNG04192;Bungalow 6m;;;;;;;;;;;Pignon #02 5.0;;;
2172;BUNG04159;Bungalow 6m;;;;;;;;;;;;;;
2173;Bung00282;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre convecteur 7.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Passage 2.0;;;;
2174;BUNG03391;Bungalow 6m;;;;;;;;;;;;;;pignon1: Pignon ferme 2.5, 
2175;BUNG03538;Bungalow 6m;;;;;;;;;;; 4.0;;;
2176;BUNG03529;Bungalow 6m;;;;;;;;;;;;;;
2177;BUNG01253;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre convecteur 7.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Passage 2.0; 4.0;;;pignon1: Pignon Fenêtre convecteur 7.0,  longpan3: 1/2 long Pan Plein 2.5,  longpan5: 1/2 long Pan Plein 2.5,  longpan6: 1/2 long Pan Plein 2.5,  cloison_int7: <vide> 1.0,  cloison_int8: <vide> 1.0,  cloison_pass9: Panneau Passage 2.0,  cloison_pass10: Panneau Passage 2.0,  config_vestiaires: communicant 11.5, 
2178;Bung00708;Bungalow 9m;Pignon Fenêtre clim reversible 10.;Pignon Fenêtre clim reversible 10.; 1.0;1/2 long Pan Plein 2.5; 1.0; 1.0; 1.0;Cloison Pleine 3.0; 0.5; 0.5;;;;
2179;bung01438;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre convecteur 7.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Passage 2.0;;;;
2180;BUNG03606;Bungalow 6m;;;;;;;;;;;;;;
2181;BUNG03047;Bungalow 6m;;;;;;;;;;; 4.0;;;
2182;bung04008;Bungalow 6m;;;;;;;;;;;;;;
2183;BUNG00063;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre convecteur 7.0; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;Cloison Porte 4.0;Cloison Porte 4.0;Panneau Passage 2.0;Panneau Passage 2.0; 4.0;;;
2184;Bung03409;Bungalow 6m;;;;;;;;;;; 4.0;;;pignon1: Pignon Porte 2.5,  pignon2: Pignon Fenêtre convecteur 7.0,  longpan3: Long Pan 6m standard 2.5,  longpan4: Long Pan 6m standard 2.5,  passage5: 0,0,  passage6: 0,0,  cloison7: null,  kitchenette: <vide> 4.0,  config_sanitaires: null,  config_vestiaires: <n/a> 0.0,  config_WC_HF: <n/a> 0.0
2185;Bung00837;Bungalow 9m;Pignon Fenêtre convecteur/window 10.;Pignon Fenêtre clim reversible 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;Cloison Porte 4.0;Cloison Porte 4.0;Panneau Passage 2.0;Porte exterieure 5.0;;;; pignon2: Pignon Fenêtre clim reversible 10.,  longpan5: 1/2 long Pan Plein 2.5,  cloison_pass10: Porte exterieure 5.0, 
2186;BUNG01192;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre convecteur 7.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5; 0.5;;;;
2187;BUNG00238;Bungalow 9m;Pignon Fenêtre clim reversible 10.;Pignon Porte 6.0; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5;Panneau Plein 2.0;Cloison 1/2 long pan #05 5.0;;;
2188;BUNG01355;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre convecteur 7.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5; 0.5;;;;
