;reference;sous_famille;pignon 1;pignon 2;long_pan3;long_pan4;long_pan5;long_pan6;cloison7;cloison8;cloison9;cloison10;kitchenette;lieu_rangement;Liste Expertise;Liste_Amenagement
0;Bung00624;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre convecteur 7.0; 1.0; 1.0; 1.0;1/2 long Pan Plein 2.5;Cloison Porte 4.0;Cloison Porte 4.0;Panneau Passage 2.0;Panneau Passage 2.0; 4.0;chilly Mazarin ;;pignon1: Pignon Fenêtre convecteur 7.0,  longpan3: <vide> 1.0,  longpan5: <vide> 1.0,  cloison_int7: Cloison Porte 4.0,  cloison_pass9: Panneau Passage 2.0,  cloison_pass10: Panneau Passage 2.0, 
1;Bung04011;Bungalow 6m;;;;;;;;;;;;;;
2;bung00418;Bungalow 9m;;;;;;;;;;;;;;
3;Bung00677;Bungalow 9m;Pignon Fenêtre 5.0;Pignon sanitaire/WC 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;<vide> 1.0;<vide> 1.0;Panneau Passage 2.0;Porte exterieure 5.0;;CMS;;pignon1: Pignon Fenêtre 5.0,  pignon2: Pignon sanitaire/WC 10.,  longpan3: 1/2 long Pan Plein 2.5,  longpan4: 1/2 long Pan Plein 2.5,  longpan5: 1/2 long Pan Plein 2.5,  longpan6: 1/2 long Pan Plein 2.5,  cloison_int7: <vide> 1.0,  cloison_int8: <vide> 1.0,  cloison_pass9: Panneau Passage 2.0,  cloison_pass10: Porte exterieure 5.0,  kitchenette: null,  config_sanitaires: null,  config_vestiaires: null,  config_WC_HF: null
4;BUNG00988;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon mi-Plein/mi-Fenetre 5.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Passage 2.0;;;;
5;BUNG03050;Bungalow 6m;;;;;;;;;;; 4.0;;;
6;Bung00471;Bungalow 9m;Pignon Porte 6.0;Pignon Porte 6.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Plein 2.0;Panneau Plein 2.0;Cloison 1/2 long pan #04 5.0;chilly mazarin;Echange porte extérieure(U) 4.0, Echange canon de serrure(U) 0.5, Echange serrure complète (U) 0.5, Nettoyage intérieur cantonnement (M2) 0.1, Peinture extérieure (M2) 0.25, Peinture interieure(M2) 0.25, Poignée de porte int.Etext.(U) 0.25, Echange convecteur (U) 1.0, Echange Fluo 36 W 1.20M (U) 0.25, Echange Refrigirateur 135 L (U) 0.5, Echange chaise plastique (U) 0.0, , Lessivage armoire Vestiaire (U) 0.5, Nettoyage armoire séchante collective (U) 2.0, Lavage colonne de coffre fort (U) 1.0;
7;BUNG00037;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon Fenêtre convecteur 7.0; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5;Porte exterieure 5.0;Pignon #01 5.0;;;
8;BUNG01321;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon mi-Plein/mi-Fenetre 5.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Passage 2.0; 4.0;;;pignon1: Pignon mi-Plein/mi-Fenetre 5.0,  longpan3: 1/2 long Pan Plein 2.5,  longpan5: 1/2 long Pan Plein 2.5,  longpan6: 1/2 long Pan Plein 2.5,  cloison_int7: <vide> 1.0,  cloison_int8: <vide> 1.0,  cloison_pass9: Panneau Passage 2.0,  cloison_pass10: Panneau Passage 2.0,  kitchenette: <vide> 4.0,  config_vestiaires: <n/a> 0.0, 
9;Bung00547;Bungalow 9m;Pignon Fenêtre clim reversible 10.;Pignon Fenêtre convecteur 7.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;Cloison Porte 4.0;Cloison Porte 4.0;Panneau Passage 2.0;Porte exterieure 5.0;;chilly mazarin;;pignon1: Pignon Fenêtre clim reversible 10.,  longpan3: 1/2 long Pan Plein 2.5,  longpan4: 1/2 long Pan Plein 2.5,  longpan5: 1/2 long Pan Plein 2.5,  longpan6: 1/2 long Pan Plein 2.5,  cloison_int7: Cloison Porte 4.0,  cloison_int8: Cloison Porte 4.0,  cloison_pass9: Panneau Passage 2.0,  cloison_pass10: Porte exterieure 5.0,
10;BUNG03091;Bungalow 6m;;;;;;;;;;;Pignon #02 5.0;;;pignon1: Pignon Porte 2.5,  passage6: 6.0, 
11;BUNG03030;Bungalow 6m;;;;;;;;;;;;tourville ;;pignon1: Pignon ferme 2.5,  longpan3: Long Pan 6m standard 2.5, 
12;BUNG03259;Bungalow 6m;;;;;;;;;;;;base de tourville la rivière ;; passage5: 2.0,  passage6: 2.0,  cloison7: null, 
13;bung00919;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre convecteur 7.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 1.0;Cloison Porte 4.0; 0.5; 0.5;;;;
14;BUNG04181;Bungalow 6m;;;;;;;;;;;;;;
15;Bung00449;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon Fenêtre convecteur/window 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Porte exterieure 5.0; 4.0;;_Sansréserve 0.0_Sans réserve 0.0, , , ;pignon1: Pignon mi-Plein/mi-Fenetre 5.0,  pignon2: Pignon mi-Plein/mi-Fenetre 5.0,  cloison_int7: <vide> 1.0,  cloison_int8: <vide> 1.0,  cloison_pass10: Panneau Passage 2.0,  config_vestiaires: communicant 11.5, 
16;BUNG04197;Bungalow 6m;;;;;;;;;;;;;;
17;BUNG00903;Bungalow 9m;Pignon Fenêtre 5.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0;Cloison Porte 4.0; 1.0;Panneau Plein 2.0; 0.5;;;;
18;Bung00504;Bungalow 9m;Pignon Fenêtre 5.0;Pignon sanitaire/WC 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Passage 2.0;;chilly Mazarin ;;
19;BUNG03230;Bungalow 6m;;;;;;;;;;;Pignon #02 5.0;;;
20;BUNG03317;Bungalow 6m;;;;;;;;;;;;;;
21;BUNG04188;Bungalow 6m;;;;;;;;;;;;;;
22;Bung00565;Bungalow 9m;Pignon Fenêtre clim reversible 10.;Pignon Fenêtre 5.0; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5; 0.5;;chilly mazarin ;;
23;BUNG04151;Bungalow 6m;;;;;;;;;;;;;;
24;BUNG00150;Bungalow 9m;Pignon ferme 2.5;Pignon sanitaire/WC 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Porte exterieure 5.0; 4.0;;Echange canon de serrure(U) 0.5 , , , ;
25;Bung00552;Bungalow 9m;Pignon Fenêtre clim reversible 10.;Pignon Fenêtre convecteur 7.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Fenêtre 5.0; 1.0;Cloison Porte 4.0;Cloison Porte 4.0; 0.5; 0.5;Cloison 1/2 long pan #05 5.0;chilly mazarin ;;
26;BUNG00006;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre convecteur 7.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5; 0.5; 4.0;;;
27;Bung00664;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon mi-Plein/mi-Fenetre 5.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Passage 2.0;;chilly mazarin ;; cloison_pass10: Panneau Passage 2.0, 
28;BUNG00179;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon mi-Plein/mi-Fenetre 5.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5;Porte exterieure 5.0;;;; cloison_pass9: <vide> 0.5,  cloison_pass10: Porte exterieure 5.0, 
29;BUNG03110;Bungalow 6m;;;;;;;;;;; 4.0;;;pignon1: Pignon mi-Plein/mi-Fenetre 5.0,  pignon2: <vide> 1.0,  longpan3: Long Pan 6m standard 2.5,  longpan4: Long Pan 6m standard 2.5,  passage5: 0,0,  passage6: 0,0,  cloison7: null,  kitchenette: <vide> 4.0,  config_sanitaires: null,  config_vestiaires: null,  config_WC_HF: null
30;BUNG03017;Bungalow 6m;;;;;;;;;;;;;; pignon2: Pignon Porte 2.5,  longpan3: <vide> 1.0,  longpan4: <vide> 1.0,  passage5: 4.0,  passage6: 4.0, 
31;Bung03434;Bungalow 6m;;;;;;;;;;;;;;
32;BUNG03087;Bungalow 6m;;;;;;;;;;;;;; passage6: 9.0, 
33;BUNG03073;Bungalow 6m;;;;;;;;;;; 4.0;;;
34;BUNG03131;Bungalow 6m;;;;;;;;;;;;;;
35;BUNG00100;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon Fenêtre clim reversible 10.; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; 0.5;Pignon #01 5.0;;Refection Lino(M2) 0.2 , , , ;
36;BUNG00196;Bungalow 9m;Pignon Fenêtre convecteur/window 10.;Pignon Fenêtre clim reversible 10.; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;Cloison Porte 4.0;Cloison Porte 4.0;Panneau Passage 2.0;Porte exterieure 5.0; 4.0;; Echange canon de serrure(U) 0.5, Peinture extérieure (M2) 0.25, Peinture interieure(M2) 0.25, Poignée de porte int.Etext.(U) 0.25, Refection Lino(M2) 0.2Echange Disjoncteur  C10/C16A (U) 0.25, Echange prise : PC 16A + T (U) 0.25, Echange Pave LED (U) 0.5, Echange Projecteur Led Porte Ext (U) 1.5, Echange Détecteur de présence (U) 0.25, Echange Climatiseur Reversible (U) 4.0, , , ;  longpan3: <vide>,  cloison_pass10: Porte exterieure, 
37;BUNG01006;Bungalow 9m;Pignon Fenêtre clim reversible 10.;Pignon Fenêtre convecteur 7.0;1/2 long Pan Plein 2.5; 1.0; 1.0;1/2 long Pan Plein 2.5;Cloison Porte 4.0;Cloison Pleine 3.0; 0.5; 0.5; 4.0;;;pignon1: Pignon Fenêtre clim reversible 10.,  pignon2: Pignon Fenêtre convecteur 7.0,  longpan6: 1/2 long Pan Plein 2.5,  cloison_int8: Cloison Pleine 3.0,  kitchenette: <vide> 4.0, 
38;bung00923;Bungalow 9m;Pignon Fenêtre clim reversible 10.;Pignon Fenêtre convecteur 7.0;1/2 long Pan Plein 2.5; 1.0; 1.0;1/2 long Pan Plein 2.5; 1.0;Cloison Porte 4.0;Panneau Passage 2.0; 0.5; 4.0;;;
39;BUNg03079;Bungalow 6m;;;;;;;;;;; 4.0;Tourville ;; pignon2: Pignon mi-Plein/mi-Fenetre 5.0,  passage6: 9.0,  cloison7: null, 
40;BUNG03231;Bungalow 6m;;;;;;;;;;;;;; pignon2: Pignon ferme 2.5,  passage5: 6.0,  passage6: 6.0, 
41;BUNG00215;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre convecteur 7.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Passage 2.0;;;;
42;CONT110030;Container;;;;;;;;;;;;;;
43;Bung00532;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon sanitaire/WC 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Porte exterieure 5.0; 4.0;chilly;;pignon1: Pignon Fenêtre convecteur 7.0,  pignon2: Pignon sanitaire/WC 10.,  longpan3: 1/2 long Pan Plein 2.5,  longpan4: 1/2 long Pan Plein 2.5,  longpan5: 1/2 long Pan Plein 2.5,  longpan6: 1/2 long Pan Plein 2.5,  cloison_int7: <vide> 1.0,  cloison_int8: <vide> 1.0,  cloison_pass9: Panneau Passage 2.0,  cloison_pass10: Porte exterieure 5.0,  kitchenette: <vide> 4.0,  config_sanitaires: <n/a> 0.0 ,  config_vestiaires: null,  config_WC_HF: null
44;Bung00546;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon Porte 6.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 1.0; 1.0;Panneau Plein 2.0; 0.5;Pignon #01 5.0;chilly mazarin ;; pignon2: Pignon Porte 6.0,  cloison_pass9: Panneau Plein 2.0,  cloison_pass10: <vide> 0.5, 
45;Bung00682;Bungalow 9m;Pignon Fenêtre 5.0;Pignon sanitaire/WC 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Passage 2.0;;CMS ;;
46;BUNG03269;Bungalow 6m;;;;;;;;;;;;;;pignon1: Pignon Porte 2.5,  pignon2: Pignon Fenêtre clim reversible 10.,  passage5: 6.0,  passage6: 4.0,  cloison7: null, 
47;BUNG04147;Bungalow 6m;;;;;;;;;;;;;;
48;BUNG04166;Bungalow 6m;;;;;;;;;;;Pignon #02 5.0;;;
49;CONT108023;Container;;;;;;;;;;;;;;
50;CONT945149;Container;;;;;;;;;;;;;;
51;BUNG01132;Bungalow 9m;Pignon Fenêtre clim reversible 10.;Pignon sanitaire/WC 10.; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;Cloison Porte 4.0;Cloison Porte 4.0; 0.5;Porte exterieure 5.0;;;; cloison_pass9: <vide> 0.5, 
52;Bung00467;Bungalow 9m;Pignon Fenêtre 5.0;Pignon sanitaire/WC 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;Cloison Porte 4.0;Cloison Porte 4.0;Panneau Passage 2.0;Panneau Passage 2.0;Pignon #01 5.0;BTS chilly mazarin;Echange porte extérieure(U) 4.0, Echange canon de serrure(U) 0.5, Echange serrure complète (U) 0.5, Echange porte intérieure (U) 1.5, Nettoyage intérieur cantonnement (M2) 0.1, Peinture extérieure (M2) 0.25, Peinture interieure(M2) 0.25, Poignée de porte int.Etext.(U) 0.25, Refection Lino(M2) 0.2Echange Pave LED (U) 0.5, Echange Climatiseur Reversible (U) 4.0, , , ;pignon1: Pignon Fenêtre 5.0,  pignon2: Pignon sanitaire/WC 10.,  cloison_pass10: Panneau Passage 2.0,  kitchenette: Pignon #01 5.0, 
53;BUNG00269;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre convecteur 7.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Passage 2.0;;;Nettoyage intérieur cantonnement (M2) 0.1, , , ;
54;Bung00656;Bungalow 9m;Pignon sanitaire/WC 10.;Pignon ferme 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Passage 2.0;;CMS;;
55;BUNG00188;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre convecteur 7.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 1.0; 1.0; 0.5;Panneau Passage 2.0; 4.0;;;
56;Bung00531;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon mi-Plein/mi-Fenetre 5.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Porte exterieure 5.0;;chilly mazarin ;;
57;BUNG00072;Bungalow 9m;Pignon Fenêtre clim reversible 10.;Pignon mi-Plein/mi-Fenetre 5.0; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5;Panneau Passage 2.0;Pignon #02 5.0;;;
58;Bung0047;Bungalow 9m;Pignon Fenêtre clim reversible 10.;Pignon Fenêtre clim reversible 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;Cloison Porte 4.0;Cloison Porte 4.0; 0.5; 0.5;;chilly mazarin ;;
59;BUNG00907;Bungalow 9m; 1.0; 1.0; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5;Panneau Plein 2.0;;;;
60;BUNG00045;Bungalow 9m;Pignon Passage 2.0;Pignon Porte 6.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Plein 2.0;Panneau Passage 2.0; 4.0;;; pignon2: Pignon Porte 6.0, 
61;bung04023;Bungalow 6m;;;;;;;;;;;;;;
62;Bung00767;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre convecteur 7.0; 1.0; 1.0;1/2 long Pan Plein 2.5; 1.0; 1.0;Cloison Pleine 3.0; 0.5; 0.5;Pignon #01 5.0;chilly Mazarin ;;pignon1: Pignon Fenêtre convecteur 7.0,  longpan5: 1/2 long Pan Plein 2.5, 
63;BUNG00985;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon Fenêtre clim reversible 10.; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5;Panneau Passage 2.0;Pignon #01 5.0;;; pignon2: Pignon Fenêtre clim reversible 10.,  cloison_pass10: Panneau Passage 2.0, 
64;BUNG01207;Bungalow 9m; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 1.0; 1.0;Panneau Plein 2.0; 0.5; 4.0;;; pignon2: <vide> 1.0, 
65;BUNG01096;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre clim reversible 10.; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5;Porte exterieure 5.0; 4.0;;;pignon1: Pignon Fenêtre convecteur 7.0,  longpan3: <vide> 1.0,  longpan4: <vide> 1.0,  cloison_int7: <vide> 1.0,  cloison_pass10: Porte exterieure 5.0,  kitchenette: <vide> 4.0, 
66;BUNG01323;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon mi-Plein/mi-Fenetre 5.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Fenêtre 5.0; 1.0; 1.0;Panneau Passage 2.0;Panneau Passage 2.0; 4.0;;;pignon1: Pignon mi-Plein/mi-Fenetre 5.0,  longpan3: 1/2 long Pan Plein 2.5,  longpan5: 1/2 long Pan Plein 2.5,  longpan6: 1/2 long Pan Fenêtre 5.0,  cloison_int7: <vide> 1.0,  cloison_int8: <vide> 1.0,  cloison_pass9: Panneau Passage 2.0,  cloison_pass10: Panneau Passage 2.0,  kitchenette: <vide> 4.0,  config_vestiaires: <n/a> 0.0, 
67;BUNG04081;Bungalow 6m;;;;;;;;;;;;;;
68;bung00399;Bungalow 9m;;;;;;;;;;;;;;
69;BUNG00016;Bungalow 9m;Pignon ferme 2.5;Pignon sanitaire/WC 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Porte exterieure 5.0;Panneau Passage 2.0; 4.0;;;
70;BUNG00048;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre convecteur 7.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Passage 2.0; 4.0;;;
71;BUNG03309;Bungalow 6m;;;;;;;;;;;;;; longpan3: Long Pan 6m standard 2.5,  longpan4: Long Pan 6m standard 2.5,  passage5: 9.0,  passage6: 2.0,  cloison7: null, 
72;bung00401;Bungalow 9m;Pignon ferme 2.5;Pignon sanitaire/WC 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Porte exterieure 5.0; 4.0;;Réparation toiture(M2) 0.0, Réparation plancher (M2) 0.0, Echange porte extérieure(U) 4.0, Nettoyage intérieur cantonnement (M2) 0.1, Peinture extérieure (M2) 0.25, Peinture interieure(M2) 0.25_Sans réserve 0.0Echange Mousseur (U) 0.0, Tete interchangeable pour presto (U) 0.25, Echange miroir inox (U) 0.25, Tête de robinet (U) 0.25, Douchette (U) 0.5, Tuyau jaune 40 ML (U) 0.5, ;
73;BUNG03147;Bungalow 6m;;;;;;;;;;;;;;pignon1: Pignon Porte 2.5,  passage6: 9.0, 
74;BUNG03066;Bungalow 6m;;;;;;;;;;;Pignon #02 5.0;;;
75;Bung00509;Bungalow 4m;;;;;;;;;;;;;;
76;BUNG04118;Bungalow 6m;;;;;;;;;;;;;;
77;CONT05850029;Container;;;;;;;;;;;;;;
78;BUNG00246;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre convecteur 7.0; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;Cloison Porte 4.0; 1.0; 0.5;Porte exterieure 5.0; 4.0;;;
79;BUNG03167;Bungalow 6m;;;;;;;;;;;Pignon #02 5.0;;;pignon1: Pignon ferme 2.5,  passage6: 9.0, 
80;BUNG00077;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre clim reversible 10.; 1.0;1/2 long Pan Plein 2.5; 1.0; 1.0; 1.0; 1.0; 0.5; 0.5; 4.0;;Nettoyage intérieur cantonnement (M2) 0.1, Peinture interieure(M2) 0.25Echange réglette double  (U) 1.0, , , ; pignon2: Pignon Fenêtre clim reversible 10.,  cloison_pass9: <vide> 0.5,  kitchenette: <vide> 4.0, 
81;Bung00786;Bungalow 9m;Pignon Fenêtre clim reversible 10.;Pignon sanitaire/WC 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;Cloison Porte 4.0;Cloison Porte 4.0;Panneau Passage 2.0;Panneau Passage 2.0;;chilly Mazarin: ;;pignon1: Pignon Fenêtre clim reversible 10.,  cloison_pass10: Panneau Passage 2.0, 
82;Bung00466;Bungalow 9m;Pignon Fenêtre 5.0;Pignon ferme 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Plein 2.0;Panneau Plein 2.0;;BTS chilly mazarin;Réparation plancher (M2) 0.0, Echange panneau 100mm SF (U) 2.0, Echange Panneau Plafond (U) 2.0, Echange porte extérieure(U) 4.0, Nettoyage intérieur cantonnement (M2) 0.1, Peinture extérieure (M2) 0.25, Peinture interieure(M2) 0.25Echange convecteur (U) 1.0, Echange prise : PC 16A + T (U) 0.25, Echange Fluo 36 W 1.20M (U) 0.25, Echange réglette double  (U) 1.0, Echange ballon EC 300 Litres (U) 3.0, Echange extracteur d'air (U) 2.0, Vasque règlettes simple (U) 0.25, Vasque règlettes double (U) 0.5, Spot + transfo (U) 0.25, Echange spot étanche sanitaire (U) 0.5, Echange hublot extérieur avec detecteur (U) 0.5Echange robinet mélangeur (U) 0.5, Echange Mousseur (U) 0.0, Tete interchangeable pour presto (U) 0.25, Echange WC anglais (U) 4.0, Echange cabine WC Turc (U) 0.0, Echange cabine de douc e (U) 3.0, Echange rideau de douc e (U) 0.25, Echange pommeau de douc e (U) 0.25, Echange double vaque (U) 4.0, Echange Lavabo type ABU SANIT (U) 2.0, Echange tablette lavabo (U) 0.25, Echange miroir inox (U) 0.25, Echange abattant de WC (U) 0.5, Bouchon lave main (U) 0.25, Syphon évier/urinoir (U) 0.5, Echange VMC (U) 2.0, Vanne d'arrêt évier/wc (U) 0.25, Débouc age WC  (U) 0.0, Tête de robinet (U) 0.25, Tringle de rideau de douc e (U) 0.25, Réducteur de pression (U) 1.0, Séparation urinoir (U) 1.0, Syphon sol (U) 0.15, Syphon groupe  de sécurité (U) 0.25, Syphon WC turc (U) 2.0, Queue de carpe (U) 0.5, Mécanime  WC (U) 0.75, Réservoir WC (U) 0.75, Abbatant de WC (U) 0.5, Tete de raccordement syphon kitchenette (U) 0.75, Siege escamotable (strapontin) (U) 1.0, Douchette (U) 0.5, Tuyau jaune 40 ML (U) 0.5, Support Tuyau jaune (U) 0.5, Vasistas 1000 mm (U) 1.5, Vasistas 45 mm (U) 1.0, ;
83;BUNG03297;Bungalow 6m;;;;;;;;;;;;tourville la rivière ;;
84;BUNG01182;Bungalow 9m;Pignon Porte 6.0;Pignon Fenêtre clim reversible 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;Cloison Porte 4.0;Cloison Porte 4.0;Porte exterieure 5.0;Panneau Passage 2.0;Pignon #01 5.0;;;pignon1: Pignon Porte 6.0,  longpan3: 1/2 long Pan Plein 2.5,  longpan6: 1/2 long Pan Plein 2.5,  cloison_int8: Cloison Porte 4.0,  cloison_pass9: Porte exterieure 5.0,  cloison_pass10: Panneau Passage 2.0, 
85;BUNG03289;Bungalow 6m;;;;;;;;;;;;;;
86;Bung00569;Bungalow 9m;Pignon Fenêtre 5.0;Pignon Fenêtre clim reversible 10.; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; 0.5;;chilly mazarin ;;
87;BUNG00101;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon sanitaire/WC 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Porte exterieure 5.0; 4.0;;Echange serrure complète (U) 0.5, Nettoyage intérieur cantonnement (M2) 0.1, Peinture extérieure (M2) 0.25, Peinture interieure(M2) 0.25Echange Fluo 36 W 1.20M (U) 0.25, , Echange Mousseur (U) 0.0, Débouc age WC  (U) 0.0, Douchette (U) 0.5, ; cloison_pass10: Porte exterieure 5.0,  config_sanitaires: <n/a> 0.0 , 
88;BUNG03103;Bungalow 6m;;;;;;;;;;;;;;
89;BUNG03172;Bungalow 6m;;;;;;;;;;;;;;
